Host Country,Year,Age,Primary %,Secondary %,Tertiary %,COB
Spain,'13,30 to 34,34.2,23.5,42.3,Total
Spain,'14,25 to 54,30,35.5,34.5,EU-28
Spain,'14,25 to 54,45.3,30.7,24,Extra-EU-28
Spain,'14,25 to 54,40.6,32.2,27.2,Foreign country
Spain,'14,25 to 54,38.3,21.2,40.5,Reporting country
Spain,'14,25 to 54,38.7,23.1,38.2,Total
Spain,'14,30 to 34,22.9,34.1,43,EU-28
Spain,'14,30 to 34,42.5,36.8,20.8,Extra-EU-28
Spain,'14,30 to 34,37.1,36.1,26.9,Foreign country
Spain,'14,30 to 34,32.3,21.2,46.5,Reporting country
Spain,'14,30 to 34,33.3,24.4,42.3,Total
Spain,'15,25 to 54,30.1,37.2,32.7,EU-28
Spain,'15,25 to 54,45.5,30.9,23.6,Extra-EU-28
Spain,'15,25 to 54,40.9,32.8,26.3,Foreign country
Spain,'15,25 to 54,37.5,21.5,41,Reporting country
Spain,'15,25 to 54,38.1,23.5,38.4,Total
Spain,'15,30 to 34,27.2,39.2,33.6,EU-28
Spain,'15,30 to 34,43.1,34.8,22.1,Extra-EU-28
Spain,'15,30 to 34,38.9,36,25.1,Foreign country
Spain,'15,30 to 34,33.1,21.7,45.2,Reporting country
Spain,'15,30 to 34,34.3,24.7,40.9,Total
Spain,'16,25 to 54,29.5,37.3,33.2,EU-28
Spain,'16,25 to 54,45.6,31.1,23.4,Extra-EU-28
Spain,'16,25 to 54,40.9,32.9,26.3,Foreign country
Spain,'16,25 to 54,36.6,21.4,42,Reporting country
Spain,'16,25 to 54,37.4,23.5,39.2,Total
Spain,'16,30 to 34,29.8,41.6,28.6,EU-28
Spain,'16,30 to 34,45.9,33.8,20.2,Extra-EU-28
Spain,'16,30 to 34,41.7,35.9,22.4,Foreign country
Spain,'16,30 to 34,33.7,21.5,44.8,Reporting country
Spain,'16,30 to 34,35.4,24.5,40.1,Total
Slovenia,'06,25 to 54,17.5,62.9,19.7,EU-28
Slovenia,'06,25 to 54,35.1,56.2,8.7,Extra-EU-28
Slovenia,'06,25 to 54,29.4,58.4,12.3,Foreign country
Slovenia,'06,25 to 54,14.5,61.7,23.7,Reporting country
Slovenia,'06,30 to 34,0,66.1,22.4,EU-28
Slovenia,'06,30 to 34,24,57.2,18.8,Extra-EU-28
Slovenia,'06,30 to 34,17.7,61.7,20.6,Foreign country
Slovenia,'06,30 to 34,10.5,61.1,28.5,Reporting country
Slovenia,'07,25 to 54,18.7,62.5,18.9,EU-28
Slovenia,'07,25 to 54,35.8,55.9,8.3,Extra-EU-28
Slovenia,'07,25 to 54,31.1,57.7,11.1,Foreign country
Slovenia,'07,25 to 54,13.7,61,25.3,Reporting country
Slovenia,'07,30 to 34,0,63.3,29.5,EU-28
Slovenia,'07,30 to 34,28.1,59.9,12,Extra-EU-28
Slovenia,'07,30 to 34,20.9,61.1,18.1,Foreign country
Slovenia,'07,30 to 34,9.4,58.9,31.7,Reporting country
Slovenia,'08,25 to 54,16,62.3,21.7,EU-28
Slovenia,'08,25 to 54,36.4,57,6.6,Extra-EU-28
Slovenia,'08,25 to 54,31.4,58.3,10.3,Foreign country
Slovenia,'08,25 to 54,13.4,60.7,25.9,Reporting country
Slovenia,'08,30 to 34,0,56.8,41.2,EU-28
Slovenia,'08,30 to 34,37.4,48.7,14,Extra-EU-28
Slovenia,'08,30 to 34,29.2,50.6,20.3,Foreign country
Slovenia,'08,30 to 34,9.1,59.4,31.6,Reporting country
Slovenia,'09,25 to 54,17,61.4,21.6,EU-28
Slovenia,'09,25 to 54,37.6,54.8,7.6,Extra-EU-28
Slovenia,'09,25 to 54,32.1,56.6,11.4,Foreign country
Slovenia,'09,25 to 54,12.2,61.2,26.6,Reporting country
Slovenia,'09,30 to 34,0,59.2,39,EU-28
Slovenia,'09,30 to 34,35.7,53.2,11.1,Extra-EU-28
Slovenia,'09,30 to 34,23.7,55.3,21,Foreign country
Slovenia,'09,30 to 34,5.8,62,32.2,Reporting country
Slovenia,'10,25 to 54,17.3,62.4,20.3,EU-28
Slovenia,'10,25 to 54,35.6,55.6,8.8,Extra-EU-28
Slovenia,'10,25 to 54,31.1,57.3,11.6,Foreign country
Slovenia,'10,25 to 54,11.4,61.1,27.6,Reporting country
Slovenia,'10,25 to 54,13.5,60.7,25.9,Total
Slovenia,'10,30 to 34,0,58.3,28.5,EU-28
Slovenia,'10,30 to 34,30.3,61.4,8.3,Extra-EU-28
Slovenia,'10,30 to 34,25.7,60.6,13.8,Foreign country
Slovenia,'10,30 to 34,5.5,58.4,36.2,Reporting country
Slovenia,'10,30 to 34,6.7,58.5,34.8,Total
Slovenia,'11,25 to 54,12,66,22,EU-28
Slovenia,'11,25 to 54,32.8,56.4,10.8,Extra-EU-28
Slovenia,'11,25 to 54,27.9,58.6,13.4,Foreign country
Slovenia,'11,25 to 54,10.1,60.5,29.4,Reporting country
Slovenia,'11,25 to 54,11.9,60.3,27.8,Total
Slovenia,'11,30 to 34,0,63.2,35,EU-28
Slovenia,'11,30 to 34,24.6,63.5,11.9,Extra-EU-28
Slovenia,'11,30 to 34,19.7,63.5,16.9,Foreign country
Slovenia,'11,30 to 34,5.3,55.2,39.5,Reporting country
Slovenia,'11,30 to 34,6.3,55.8,37.9,Total
Slovenia,'12,25 to 54,10.6,59,30.4,EU-28
Slovenia,'12,25 to 54,33.7,57.3,9,Extra-EU-28
Slovenia,'12,25 to 54,28.8,57.7,13.6,Foreign country
Slovenia,'12,25 to 54,9.7,59.1,31.2,Reporting country
Slovenia,'12,25 to 54,11.6,59,29.4,Total
Slovenia,'12,30 to 34,0,65.3,32.8,EU-28
Slovenia,'12,30 to 34,30.6,61.3,8,Extra-EU-28
Slovenia,'12,30 to 34,25.3,62.1,12.6,Foreign country
Slovenia,'12,30 to 34,4.5,54.3,41.2,Reporting country
Slovenia,'12,30 to 34,6,54.8,39.2,Total
Slovenia,'13,25 to 54,12.7,59.4,27.9,EU-28
Slovenia,'13,25 to 54,29.2,63.5,7.3,Extra-EU-28
Slovenia,'13,25 to 54,25.2,62.5,12.3,Foreign country
Slovenia,'13,25 to 54,9.3,57.5,33.2,Reporting country
Slovenia,'13,25 to 54,10.9,58.1,31,Total
Slovenia,'13,30 to 34,0,64.3,35.7,EU-28
Slovenia,'13,30 to 34,26.8,68.4,0,Extra-EU-28
Slovenia,'13,30 to 34,19.6,67.3,13.1,Foreign country
Slovenia,'13,30 to 34,4,53.6,42.4,Reporting country
Slovenia,'13,30 to 34,5.2,54.7,40.1,Total
Slovenia,'14,25 to 54,10.4,65.1,24.5,EU-28
Slovenia,'14,25 to 54,29.2,60.8,10,Extra-EU-28
Slovenia,'14,25 to 54,25,61.8,13.2,Foreign country
Slovenia,'14,25 to 54,8.9,56.8,34.3,Reporting country
Slovenia,'14,25 to 54,10.6,57.3,32.1,Total
Slovenia,'14,30 to 34,0,53.2,44.8,EU-28
Slovenia,'14,30 to 34,29.4,59,11.6,Extra-EU-28
Slovenia,'14,30 to 34,25,58,17,Foreign country
Slovenia,'14,30 to 34,4.3,52.3,43.4,Reporting country
Slovenia,'14,30 to 34,6.2,52.8,41,Total
Slovenia,'15,25 to 54,9.5,66.5,24,EU-28
Slovenia,'15,25 to 54,26.6,61.5,12,Extra-EU-28
Slovenia,'15,25 to 54,22.8,62.6,14.6,Foreign country
Slovenia,'15,25 to 54,8.5,55.4,36.1,Reporting country
Slovenia,'15,25 to 54,9.9,56.2,33.9,Total
Slovenia,'15,30 to 34,0,56.8,43.2,EU-28
Slovenia,'15,30 to 34,19.6,63.3,17.1,Extra-EU-28
Slovenia,'15,30 to 34,17.5,62.6,19.9,Foreign country
Slovenia,'15,30 to 34,4.8,49.6,45.6,Reporting country
Slovenia,'15,30 to 34,5.9,50.7,43.4,Total
Slovenia,'16,25 to 54,11.5,55.4,33.1,EU-28
Slovenia,'16,25 to 54,25.7,62,12.3,Extra-EU-28
Slovenia,'16,25 to 54,22.9,60.7,16.4,Foreign country
Slovenia,'16,25 to 54,8.1,55,36.8,Reporting country
Slovenia,'16,25 to 54,9.7,55.7,34.6,Total
Slovenia,'16,30 to 34,0,69.5,0,EU-28
Slovenia,'16,30 to 34,14.7,66.3,19,Extra-EU-28
Slovenia,'16,30 to 34,14.2,66.6,19.2,Foreign country
Slovenia,'16,30 to 34,5.6,47.6,46.8,Reporting country
Slovenia,'16,30 to 34,6.4,49.4,44.2,Total
Slovakia,'06,25 to 54,14.6,66,19.4,EU-28
Slovakia,'06,25 to 54,14,61.4,24.6,Foreign country
Slovakia,'06,25 to 54,9,76.2,14.8,Reporting country
Slovakia,'06,30 to 34,5.6,80.1,14.4,Reporting country
Slovakia,'07,25 to 54,0,69.9,0,EU-28
Slovakia,'07,25 to 54,0,67,23.8,Foreign country
Slovakia,'07,25 to 54,8.6,76.4,14.9,Reporting country
Slovakia,'07,30 to 34,6.1,79.2,14.7,Reporting country
Slovakia,'08,25 to 54,0,73.8,19.4,EU-28
Slovakia,'08,25 to 54,0,53.1,46.9,Extra-EU-28
Slovakia,'08,25 to 54,0,68.7,26.1,Foreign country
Slovakia,'08,25 to 54,7.9,76.5,15.6,Reporting country
Slovakia,'08,30 to 34,6.1,78.2,15.7,Reporting country
Slovakia,'09,25 to 54,0,68.8,21.7,EU-28
Slovakia,'09,25 to 54,0,66.1,0,Extra-EU-28
Slovakia,'09,25 to 54,0,68.3,23.1,Foreign country
Slovakia,'09,25 to 54,6.9,76.4,16.6,Reporting country
Slovakia,'09,30 to 34,0,61.1,0,EU-28
Slovakia,'09,30 to 34,0,61.5,0,Foreign country
Slovakia,'09,30 to 34,5.4,77.2,17.5,Reporting country
Slovakia,'10,25 to 54,0,58.6,26.5,EU-28
Slovakia,'10,25 to 54,0,69.7,0,Extra-EU-28
Slovakia,'10,25 to 54,13.4,61.8,24.9,Foreign country
Slovakia,'10,25 to 54,7,74.5,18.5,Reporting country
Slovakia,'10,25 to 54,7,74.4,18.5,Total
Slovakia,'10,30 to 34,5.3,72.7,22,Reporting country
Slovakia,'10,30 to 34,5.3,72.6,22.1,Total
Slovakia,'11,25 to 54,0,62.3,0,EU-28
Slovakia,'11,25 to 54,0,67.4,0,Extra-EU-28
Slovakia,'11,25 to 54,0,64.2,29,Foreign country
Slovakia,'11,25 to 54,6.7,73.4,19.9,Reporting country
Slovakia,'11,25 to 54,6.7,73.3,20,Total
Slovakia,'11,30 to 34,5,71.8,23.2,Reporting country
Slovakia,'11,30 to 34,5,71.7,23.2,Total
Slovakia,'12,25 to 54,0,68.7,27.7,EU-28
Slovakia,'12,25 to 54,0,58.1,0,Extra-EU-28
Slovakia,'12,25 to 54,0,64.8,30,Foreign country
Slovakia,'12,25 to 54,6.5,73,20.5,Reporting country
Slovakia,'12,25 to 54,6.5,72.9,20.5,Total
Slovakia,'12,30 to 34,6.3,70,23.7,Reporting country
Slovakia,'12,30 to 34,6.3,70,23.7,Total
Slovakia,'13,25 to 54,0,68.1,21.4,EU-28
Slovakia,'13,25 to 54,0,49.8,41.4,Extra-EU-28
Slovakia,'13,25 to 54,0,62.7,27.4,Foreign country
Slovakia,'13,25 to 54,6.2,72.1,21.6,Reporting country
Slovakia,'13,25 to 54,6.3,72.1,21.7,Total
Slovakia,'13,30 to 34,6,67.2,26.8,Reporting country
Slovakia,'13,30 to 34,6,67.1,26.9,Total
Slovakia,'14,25 to 54,0,65.7,22.1,EU-28
Slovakia,'14,25 to 54,0,46.4,45.7,Extra-EU-28
Slovakia,'14,25 to 54,0,60.2,28.8,Foreign country
Slovakia,'14,25 to 54,7.1,70.6,22.3,Reporting country
Slovakia,'14,25 to 54,7.1,70.6,22.3,Total
Slovakia,'14,30 to 34,7.1,66.2,26.7,Reporting country
Slovakia,'14,30 to 34,7.1,66,26.9,Total
Slovakia,'15,25 to 54,0,65.5,27.8,EU-28
Slovakia,'15,25 to 54,0,52.1,0,Extra-EU-28
Slovakia,'15,25 to 54,0,61.5,30.1,Foreign country
Slovakia,'15,25 to 54,6.9,69.7,23.5,Reporting country
Slovakia,'15,25 to 54,6.9,69.6,23.5,Total
Slovakia,'15,30 to 34,6.7,65,28.2,Reporting country
Slovakia,'15,30 to 34,6.7,64.9,28.4,Total
Slovakia,'16,25 to 54,0,67.2,25.7,EU-28
Slovakia,'16,25 to 54,0,60,36.3,Extra-EU-28
Slovakia,'16,25 to 54,0,64.2,30.1,Foreign country
Slovakia,'16,25 to 54,6.6,69,24.4,Reporting country
Slovakia,'16,25 to 54,6.6,69,24.4,Total
Slovakia,'16,30 to 34,6.4,62.1,31.5,Reporting country
Slovakia,'16,30 to 34,6.4,62.1,31.5,Total
Romania,'06,25 to 54,20.6,67.1,12.3,Reporting country
Romania,'06,30 to 34,18.5,69.1,12.4,Reporting country
Romania,'07,25 to 54,20,67.3,12.7,Reporting country
Romania,'07,30 to 34,20,66,13.9,Reporting country
Romania,'08,25 to 54,19.8,66.4,13.8,Reporting country
Romania,'08,30 to 34,21.1,63,15.9,Reporting country
Romania,'09,25 to 54,20.8,64.8,14.4,Reporting country
Romania,'09,30 to 34,23.6,59.6,16.7,Reporting country
Romania,'10,25 to 54,21.5,63.4,15.2,Reporting country
Romania,'10,25 to 54,21.4,63.3,15.2,Total
Romania,'10,30 to 34,24.4,57.3,18.3,Reporting country
Romania,'10,30 to 34,24.4,57.2,18.3,Total
Romania,'11,25 to 54,21.1,62.6,16.3,Reporting country
Romania,'11,25 to 54,21.1,62.6,16.3,Total
Romania,'11,30 to 34,24.5,55.2,20.3,Reporting country
Romania,'11,30 to 34,24.5,55.1,20.3,Total
Romania,'12,25 to 54,0,0,67.9,Foreign country
Romania,'12,25 to 54,20.5,62.4,17.1,Reporting country
Romania,'12,25 to 54,20.5,62.3,17.2,Total
Romania,'12,30 to 34,24.1,54.2,21.6,Reporting country
Romania,'12,30 to 34,24.1,54.2,21.7,Total
Romania,'13,25 to 54,20.5,61.8,17.7,Reporting country
Romania,'13,25 to 54,20.4,61.8,17.8,Total
Romania,'13,30 to 34,23.5,53.6,22.9,Reporting country
Romania,'13,30 to 34,23.5,53.6,22.9,Total
Romania,'14,25 to 54,23.5,58.2,18.2,Reporting country
Romania,'14,25 to 54,23.5,58.2,18.3,Total
Romania,'14,30 to 34,24.8,50.2,25,Reporting country
Romania,'14,30 to 34,24.8,50.2,25,Total
Romania,'15,25 to 54,21.9,58.5,19.6,Reporting country
Romania,'15,25 to 54,21.9,58.5,19.6,Total
Romania,'15,30 to 34,24.3,50.1,25.6,Reporting country
Romania,'15,30 to 34,24.3,50.1,25.6,Total
Romania,'16,25 to 54,21,59.3,19.8,Reporting country
Romania,'16,25 to 54,20.9,59.2,19.8,Total
Romania,'16,30 to 34,23.4,51,25.6,Reporting country
Romania,'16,30 to 34,23.4,51,25.6,Total
Portugal,'06,25 to 54,39.1,34.4,26.4,EU-28
Portugal,'06,25 to 54,49.8,29.8,20.4,Extra-EU-28
Portugal,'06,25 to 54,47.2,30.9,21.9,Foreign country
Portugal,'06,25 to 54,70.6,15,14.4,Reporting country
Portugal,'06,30 to 34,43.6,36.6,19.9,EU-28
Portugal,'06,30 to 34,50.4,30.6,19,Extra-EU-28
Portugal,'06,30 to 34,48,32.7,19.3,Foreign country
Portugal,'06,30 to 34,63,18.8,18.2,Reporting country
Portugal,'07,25 to 54,42.7,25.8,31.5,EU-28
Portugal,'07,25 to 54,53.7,25,21.3,Extra-EU-28
Portugal,'07,25 to 54,51.5,25.1,23.4,Foreign country
Portugal,'07,25 to 54,70.7,14.8,14.4,Reporting country
Portugal,'07,30 to 34,42.2,28.2,29.6,EU-28
Portugal,'07,30 to 34,50.9,25.3,23.8,Extra-EU-28
Portugal,'07,30 to 34,48.3,26.2,25.6,Foreign country
Portugal,'07,30 to 34,61.8,19.5,18.7,Reporting country
Portugal,'08,25 to 54,45,24.7,30.3,EU-28
Portugal,'08,25 to 54,51.7,27.1,21.1,Extra-EU-28
Portugal,'08,25 to 54,50.3,26.6,23,Foreign country
Portugal,'08,25 to 54,69.9,14.8,15.2,Reporting country
Portugal,'08,30 to 34,47.4,20.9,31.7,EU-28
Portugal,'08,30 to 34,46.4,32.4,21.2,Extra-EU-28
Portugal,'08,30 to 34,46.7,28.7,24.6,Foreign country
Portugal,'08,30 to 34,59.2,19.7,21.1,Reporting country
Portugal,'09,25 to 54,40.5,30.5,29,EU-28
Portugal,'09,25 to 54,51.4,29.1,19.4,Extra-EU-28
Portugal,'09,25 to 54,49,29.4,21.6,Foreign country
Portugal,'09,25 to 54,67.9,16,16.1,Reporting country
Portugal,'09,30 to 34,42.8,25.9,31.3,EU-28
Portugal,'09,30 to 34,45.3,35.4,19.3,Extra-EU-28
Portugal,'09,30 to 34,44.6,32.8,22.6,Foreign country
Portugal,'09,30 to 34,57.7,21.2,21.1,Reporting country
Portugal,'10,25 to 54,38.6,33.7,27.7,EU-28
Portugal,'10,25 to 54,51.8,30.1,18.1,Extra-EU-28
Portugal,'10,25 to 54,48.7,30.9,20.3,Foreign country
Portugal,'10,25 to 54,65.6,17.4,17,Reporting country
Portugal,'10,25 to 54,63.8,18.8,17.3,Total
Portugal,'10,30 to 34,34.8,36.6,28.6,EU-28
Portugal,'10,30 to 34,44.8,39.5,15.7,Extra-EU-28
Portugal,'10,30 to 34,41.5,38.5,19.9,Foreign country
Portugal,'10,30 to 34,53.7,21.6,24.7,Reporting country
Portugal,'10,30 to 34,52,24,24,Total
Portugal,'11,25 to 54,35.8,31.6,32.6,EU-28
Portugal,'11,25 to 54,46.6,31.2,22.2,Extra-EU-28
Portugal,'11,25 to 54,44.1,31.3,24.6,Foreign country
Portugal,'11,25 to 54,62.7,19,18.4,Reporting country
Portugal,'11,25 to 54,60.7,20.3,19,Total
Portugal,'11,30 to 34,32.6,33.6,33.8,EU-28
Portugal,'11,30 to 34,42.2,37.8,20,Extra-EU-28
Portugal,'11,30 to 34,39.3,36.6,24.1,Foreign country
Portugal,'11,30 to 34,49.1,23.8,27,Reporting country
Portugal,'11,30 to 34,47.9,25.5,26.7,Total
Portugal,'12,25 to 54,34.7,36.8,28.5,EU-28
Portugal,'12,25 to 54,43.5,30.6,25.9,Extra-EU-28
Portugal,'12,25 to 54,41.3,32.1,26.6,Foreign country
Portugal,'12,25 to 54,59.4,20.6,20,Reporting country
Portugal,'12,25 to 54,57.5,21.8,20.7,Total
Portugal,'12,30 to 34,33.6,35.9,30.5,EU-28
Portugal,'12,30 to 34,46.5,34,19.5,Extra-EU-28
Portugal,'12,30 to 34,42.4,34.6,23,Foreign country
Portugal,'12,30 to 34,45,26.6,28.4,Reporting country
Portugal,'12,30 to 34,44.6,27.6,27.8,Total
Portugal,'13,25 to 54,36.3,36.2,27.5,EU-28
Portugal,'13,25 to 54,42.4,31.8,25.8,Extra-EU-28
Portugal,'13,25 to 54,40.8,33,26.2,Foreign country
Portugal,'13,25 to 54,56.3,22.6,21.1,Reporting country
Portugal,'13,25 to 54,54.6,23.8,21.6,Total
Portugal,'13,30 to 34,23.2,40.3,36.5,EU-28
Portugal,'13,30 to 34,41.6,33.7,24.7,Extra-EU-28
Portugal,'13,30 to 34,35.2,36,28.8,Foreign country
Portugal,'13,30 to 34,40.7,29.1,30.2,Reporting country
Portugal,'13,30 to 34,40.1,29.8,30,Total
Portugal,'14,25 to 54,31.3,34.5,34.2,EU-28
Portugal,'14,25 to 54,39.1,33.4,27.5,Extra-EU-28
Portugal,'14,25 to 54,36.8,33.8,29.5,Foreign country
Portugal,'14,25 to 54,52.1,24.1,23.8,Reporting country
Portugal,'14,25 to 54,50.4,25.1,24.4,Total
Portugal,'14,30 to 34,0,41.5,42.5,EU-28
Portugal,'14,30 to 34,33.1,38.5,28.4,Extra-EU-28
Portugal,'14,30 to 34,26.1,39.7,34.2,Foreign country
Portugal,'14,30 to 34,38.7,30.4,31,Reporting country
Portugal,'14,30 to 34,37.4,31.3,31.3,Total
Portugal,'15,25 to 54,30,32.2,37.7,EU-28
Portugal,'15,25 to 54,36.6,33.8,29.6,Extra-EU-28
Portugal,'15,25 to 54,34.6,33.3,32,Foreign country
Portugal,'15,25 to 54,50,24.7,25.3,Reporting country
Portugal,'15,25 to 54,48.4,25.6,26,Total
Portugal,'15,30 to 34,24.3,34.6,41.1,EU-28
Portugal,'15,30 to 34,35.7,38.3,25.9,Extra-EU-28
Portugal,'15,30 to 34,31.3,36.9,31.8,Foreign country
Portugal,'15,30 to 34,36.9,31.1,32,Reporting country
Portugal,'15,30 to 34,36.4,31.7,31.9,Total
Portugal,'16,25 to 54,28.7,35.6,35.7,EU-28
Portugal,'16,25 to 54,33.1,37.2,29.7,Extra-EU-28
Portugal,'16,25 to 54,31.8,36.7,31.4,Foreign country
Portugal,'16,25 to 54,48.1,25.1,26.8,Reporting country
Portugal,'16,25 to 54,46.4,26.3,27.3,Total
Portugal,'16,30 to 34,0,49,36.7,EU-28
Portugal,'16,30 to 34,38.9,35.4,25.7,Extra-EU-28
Portugal,'16,30 to 34,31,39.8,29.2,Foreign country
Portugal,'16,30 to 34,34.2,30.7,35.1,Reporting country
Portugal,'16,30 to 34,33.9,31.5,34.6,Total
Poland,'06,25 to 54,0,46.6,51.4,EU-28
Poland,'06,25 to 54,0,60,36.1,Extra-EU-28
Poland,'06,25 to 54,0,55.5,41.2,Foreign country
Poland,'06,25 to 54,10.9,70,19.1,Reporting country
Poland,'06,30 to 34,0,70.1,0,Extra-EU-28
Poland,'06,30 to 34,0,61.2,0,Foreign country
Poland,'06,30 to 34,8.4,66.9,24.6,Reporting country
Poland,'07,25 to 54,0,50.1,47.7,EU-28
Poland,'07,25 to 54,0,44,54.7,Extra-EU-28
Poland,'07,25 to 54,0,45.8,52.6,Foreign country
Poland,'07,25 to 54,10.5,69.2,20.3,Reporting country
Poland,'07,30 to 34,8.6,64.5,27,Reporting country
Poland,'08,25 to 54,0,46.4,53.6,EU-28
Poland,'08,25 to 54,0,52.9,46.4,Extra-EU-28
Poland,'08,25 to 54,0,51.4,48.1,Foreign country
Poland,'08,25 to 54,9.8,68.6,21.6,Reporting country
Poland,'08,30 to 34,0,0,53.8,Extra-EU-28
Poland,'08,30 to 34,0,43.6,56.4,Foreign country
Poland,'08,30 to 34,8,62.5,29.6,Reporting country
Poland,'09,25 to 54,0,58.6,39.6,Extra-EU-28
Poland,'09,25 to 54,0,56.1,41.3,Foreign country
Poland,'09,25 to 54,9,67.4,23.6,Reporting country
Poland,'09,30 to 34,0,59.3,0,Foreign country
Poland,'09,30 to 34,7.3,59.9,32.8,Reporting country
Poland,'10,25 to 54,0,51.2,45.2,Extra-EU-28
Poland,'10,25 to 54,0,50.4,46.1,Foreign country
Poland,'10,25 to 54,8.6,66,25.5,Reporting country
Poland,'10,25 to 54,8.6,65.9,25.5,Total
Poland,'10,30 to 34,6.7,58.5,34.8,Reporting country
Poland,'10,30 to 34,6.7,58.4,34.8,Total
Poland,'11,25 to 54,0,0,54.7,EU-28
Poland,'11,25 to 54,0,45.6,49.8,Extra-EU-28
Poland,'11,25 to 54,0,44.1,51.2,Foreign country
Poland,'11,25 to 54,8.1,65.2,26.7,Reporting country
Poland,'11,25 to 54,8.1,65.1,26.7,Total
Poland,'11,30 to 34,6.4,57.2,36.5,Reporting country
Poland,'11,30 to 34,6.4,57.1,36.5,Total
Poland,'12,25 to 54,0,0,64.9,EU-28
Poland,'12,25 to 54,0,51.1,42.4,Extra-EU-28
Poland,'12,25 to 54,0,44.5,48.9,Foreign country
Poland,'12,25 to 54,7.6,64,28.5,Reporting country
Poland,'12,25 to 54,7.6,63.9,28.5,Total
Poland,'12,30 to 34,5.9,55,39.1,Reporting country
Poland,'12,30 to 34,5.9,55,39.1,Total
Poland,'13,25 to 54,0,0,67.9,EU-28
Poland,'13,25 to 54,0,45.7,43.8,Extra-EU-28
Poland,'13,25 to 54,0,41.1,50.3,Foreign country
Poland,'13,25 to 54,7.3,62.6,30,Reporting country
Poland,'13,25 to 54,7.4,62.5,30.1,Total
Poland,'13,30 to 34,5.7,53.8,40.5,Reporting country
Poland,'13,30 to 34,5.8,53.7,40.5,Total
Poland,'14,25 to 54,0,40.8,56.4,EU-28
Poland,'14,25 to 54,0,42.3,52.7,Extra-EU-28
Poland,'14,25 to 54,0,41.9,53.7,Foreign country
Poland,'14,25 to 54,7.3,61.2,31.6,Reporting country
Poland,'14,25 to 54,7.2,61.1,31.7,Total
Poland,'14,30 to 34,0,0,60.1,Extra-EU-28
Poland,'14,30 to 34,0,0,61.6,Foreign country
Poland,'14,30 to 34,5.6,52.4,42,Reporting country
Poland,'14,30 to 34,5.6,52.3,42.1,Total
Poland,'15,25 to 54,0,36.5,60.3,EU-28
Poland,'15,25 to 54,0,39.3,56.7,Extra-EU-28
Poland,'15,25 to 54,0,38.6,57.6,Foreign country
Poland,'15,25 to 54,7.3,60.1,32.6,Reporting country
Poland,'15,25 to 54,7.2,60,32.7,Total
Poland,'15,30 to 34,0,0,65.6,Extra-EU-28
Poland,'15,30 to 34,0,33.8,63.2,Foreign country
Poland,'15,30 to 34,5.6,51.1,43.3,Reporting country
Poland,'15,30 to 34,5.6,51,43.4,Total
Poland,'16,25 to 54,0,35.6,56.2,EU-28
Poland,'16,25 to 54,0,44.8,50,Extra-EU-28
Poland,'16,25 to 54,0,42.7,51.5,Foreign country
Poland,'16,25 to 54,6.8,59.4,33.8,Reporting country
Poland,'16,25 to 54,6.8,59.3,33.9,Total
Poland,'16,30 to 34,0,0,48.1,Extra-EU-28
Poland,'16,30 to 34,0,0,50.7,Foreign country
Poland,'16,30 to 34,5.3,50.1,44.6,Reporting country
Poland,'16,30 to 34,5.3,50.1,44.6,Total
Norway,'06,25 to 54,15,34.4,50.7,EU-28
Norway,'06,25 to 54,39.1,33,27.9,Extra-EU-28
Norway,'06,25 to 54,31.5,33.4,35.2,Foreign country
Norway,'06,25 to 54,19.4,45.2,35.4,Reporting country
Norway,'06,30 to 34,15.1,29,55.9,EU-28
Norway,'06,30 to 34,37.1,38.6,24.2,Extra-EU-28
Norway,'06,30 to 34,30.8,35.8,33.4,Foreign country
Norway,'06,30 to 34,14.4,42.5,43.1,Reporting country
Norway,'07,25 to 54,14.8,33.9,51.3,EU-28
Norway,'07,25 to 54,38,32.2,29.8,Extra-EU-28
Norway,'07,25 to 54,30.2,32.8,37,Foreign country
Norway,'07,25 to 54,19.4,43.9,36.6,Reporting country
Norway,'07,30 to 34,11.5,32,56.5,EU-28
Norway,'07,30 to 34,37.4,33.8,28.8,Extra-EU-28
Norway,'07,30 to 34,28,33.1,38.9,Foreign country
Norway,'07,30 to 34,12.6,43,44.4,Reporting country
Norway,'08,25 to 54,11.6,38.6,49.8,EU-28
Norway,'08,25 to 54,34.5,33.6,31.9,Extra-EU-28
Norway,'08,25 to 54,26.3,35.4,38.3,Foreign country
Norway,'08,25 to 54,18.5,43.7,37.8,Reporting country
Norway,'08,30 to 34,8.3,42.3,49.4,EU-28
Norway,'08,30 to 34,33.7,35.7,30.6,Extra-EU-28
Norway,'08,30 to 34,24.1,38.2,37.7,Foreign country
Norway,'08,30 to 34,11.8,40.6,47.6,Reporting country
Norway,'09,25 to 54,13.2,40.2,46.6,EU-28
Norway,'09,25 to 54,34.7,34,31.4,Extra-EU-28
Norway,'09,25 to 54,26.9,36.2,36.8,Foreign country
Norway,'09,25 to 54,17.9,43.4,38.8,Reporting country
Norway,'09,30 to 34,10.4,45.7,43.9,EU-28
Norway,'09,30 to 34,37.3,35.4,27.2,Extra-EU-28
Norway,'09,30 to 34,27.8,39.1,33.2,Foreign country
Norway,'09,30 to 34,12,38.6,49.4,Reporting country
Norway,'10,25 to 54,13.2,41.7,45.1,EU-28
Norway,'10,25 to 54,33.4,31.8,34.8,Extra-EU-28
