Host Country,Year,Age,Primary %,Secondary %,Tertiary %,COB
United Kingdom,'15,25 to 54,12.1,39,48.9,EU-28
United Kingdom,'15,25 to 54,17.6,28.1,54.3,Extra-EU-28
United Kingdom,'15,25 to 54,15.5,32.2,52.3,Foreign country
United Kingdom,'15,25 to 54,19.2,39.1,41.7,Reporting country
United Kingdom,'15,25 to 54,18.5,37.7,43.8,Total
United Kingdom,'15,30 to 34,11.2,41.1,47.7,EU-28
United Kingdom,'15,30 to 34,15.6,25.4,59,Extra-EU-28
United Kingdom,'15,30 to 34,13.6,32.4,54,Foreign country
United Kingdom,'15,30 to 34,15.4,39,45.6,Reporting country
United Kingdom,'15,30 to 34,14.9,37.2,47.9,Total
United Kingdom,'16,25 to 54,11.9,37.5,50.6,EU-28
United Kingdom,'16,25 to 54,16.4,27.7,55.9,Extra-EU-28
United Kingdom,'16,25 to 54,14.6,31.6,53.7,Foreign country
United Kingdom,'16,25 to 54,19.7,38.1,42.2,Reporting country
United Kingdom,'16,25 to 54,18.6,36.7,44.7,Total
United Kingdom,'16,30 to 34,11.5,41.4,47.2,EU-28
United Kingdom,'16,30 to 34,13.9,24.7,61.4,Extra-EU-28
United Kingdom,'16,30 to 34,12.7,32.5,54.7,Foreign country
United Kingdom,'16,30 to 34,15.7,38.7,45.6,Reporting country
United Kingdom,'16,30 to 34,14.9,37,48.1,Total
Turkey,'10,25 to 54,69.3,18,12.7,Total
Turkey,'10,30 to 34,61.7,22.8,15.5,Total
Turkey,'11,25 to 54,68.3,18.1,13.7,Total
Turkey,'11,30 to 34,60.6,23.1,16.3,Total
Turkey,'12,25 to 54,32,40.6,27.4,EU-28
Turkey,'12,25 to 54,37,31.9,31.1,Extra-EU-28
Turkey,'12,25 to 54,33.2,38.5,28.3,Foreign country
Turkey,'12,25 to 54,67,18.2,14.8,Reporting country
Turkey,'12,25 to 54,66.5,18.5,15,Total
Turkey,'12,30 to 34,30.6,38.2,31.3,EU-28
Turkey,'12,30 to 34,33.4,28.5,38.1,Extra-EU-28
Turkey,'12,30 to 34,31.2,35.8,32.9,Foreign country
Turkey,'12,30 to 34,59.5,22.7,17.7,Reporting country
Turkey,'12,30 to 34,59.1,22.9,18,Total
