Host Country,Year,Sex,AROPE %,COB
Slovakia,'11,Total,22.6,Extra-EU-28
Slovakia,'11,Total,23.6,Foreign country
Slovakia,'11,Total,19.5,Reporting country
Slovakia,'12,Females,30.7,EU-28
Slovakia,'12,Females,33.5,Foreign country
Slovakia,'12,Females,20.1,Reporting country
Slovakia,'12,Males,25.2,EU-28
Slovakia,'12,Males,23.4,Foreign country
Slovakia,'12,Males,18.2,Reporting country
Slovakia,'12,Total,27.7,EU-28
Slovakia,'12,Total,28,Foreign country
Slovakia,'12,Total,19.2,Reporting country
Slovakia,'13,Females,17,EU-28
Slovakia,'13,Females,18.2,Foreign country
Slovakia,'13,Females,19.1,Reporting country
Slovakia,'13,Males,17.2,EU-28
Slovakia,'13,Males,17.3,Foreign country
Slovakia,'13,Males,17.8,Reporting country
Slovakia,'13,Total,17.1,EU-28
Slovakia,'13,Total,17.8,Foreign country
Slovakia,'13,Total,18.5,Reporting country
Slovakia,'14,Females,23.3,EU-28
Slovakia,'14,Females,20.4,Foreign country
Slovakia,'14,Females,17.4,Reporting country
Slovakia,'14,Males,12.5,EU-28
Slovakia,'14,Males,10.7,Foreign country
Slovakia,'14,Males,17.1,Reporting country
Slovakia,'14,Total,18.4,EU-28
Slovakia,'14,Total,16,Foreign country
Slovakia,'14,Total,17.3,Reporting country
Slovakia,'15,Females,24.2,EU-28
Slovakia,'15,Females,29.9,Foreign country
Slovakia,'15,Females,16.8,Reporting country
Slovakia,'15,Males,16.8,EU-28
Slovakia,'15,Males,20.8,Foreign country
Slovakia,'15,Males,17,Reporting country
Slovakia,'15,Total,21,EU-28
Slovakia,'15,Total,26.1,Foreign country
Slovakia,'15,Total,16.9,Reporting country
Serbia,'13,Females,41.9,Extra-EU-28
Serbia,'13,Females,41.9,Foreign country
Serbia,'13,Males,41.5,Extra-EU-28
Serbia,'13,Males,41.5,Foreign country
Serbia,'13,Total,41.7,Extra-EU-28
Serbia,'13,Total,41.7,Foreign country
Serbia,'14,Females,40.5,EU-28
Serbia,'14,Females,45.5,Extra-EU-28
Serbia,'14,Females,43.4,Foreign country
Serbia,'14,Females,42.6,Reporting country
Serbia,'14,Males,44.3,EU-28
Serbia,'14,Males,42.8,Extra-EU-28
Serbia,'14,Males,43.4,Foreign country
Serbia,'14,Males,43.4,Reporting country
Serbia,'14,Total,42.1,EU-28
Serbia,'14,Total,44.4,Extra-EU-28
Serbia,'14,Total,43.4,Foreign country
Serbia,'14,Total,43,Reporting country
Serbia,'15,Females,33.4,EU-28
Serbia,'15,Females,43.2,Extra-EU-28
Serbia,'15,Females,39.3,Foreign country
Serbia,'15,Females,40.9,Reporting country
Serbia,'15,Males,36.5,EU-28
Serbia,'15,Males,36.5,Extra-EU-28
Serbia,'15,Males,36.5,Foreign country
Serbia,'15,Males,42.2,Reporting country
Serbia,'15,Total,34.8,EU-28
Serbia,'15,Total,40.3,Extra-EU-28
Serbia,'15,Total,38.1,Foreign country
Serbia,'15,Total,41.5,Reporting country
Romania,'07,Females,47,Reporting country
Romania,'07,Males,44.3,Reporting country
Romania,'07,Total,45.7,Reporting country
Romania,'08,Females,43.7,Reporting country
Romania,'08,Males,41.1,Reporting country
Romania,'08,Total,42.5,Reporting country
Romania,'09,Females,42.5,Reporting country
Romania,'09,Males,39.8,Reporting country
Romania,'09,Total,41.2,Reporting country
Romania,'10,Females,40.9,Reporting country
Romania,'10,Males,39,Reporting country
Romania,'10,Total,40,Reporting country
Romania,'11,Females,40.1,Reporting country
Romania,'11,Males,37.9,Reporting country
Romania,'11,Total,39,Reporting country
Romania,'12,Females,41.9,Reporting country
Romania,'12,Males,39.9,Reporting country
Romania,'12,Total,41,Reporting country
Romania,'13,Females,40.7,Reporting country
Romania,'13,Males,38.5,Reporting country
Romania,'13,Total,39.7,Reporting country
Romania,'14,Females,38.7,Reporting country
Romania,'14,Males,37,Reporting country
Romania,'14,Total,37.9,Reporting country
Romania,'15,Females,36.4,Reporting country
Romania,'15,Males,33.8,Reporting country
Romania,'15,Total,35.1,Reporting country
Romania,'16,Females,37.8,Reporting country
Romania,'16,Males,34.7,Reporting country
Romania,'16,Total,36.3,Reporting country
Portugal,'06,Females,20,Foreign country
Portugal,'06,Females,26.3,Reporting country
Portugal,'06,Males,27.6,Foreign country
Portugal,'06,Males,23.2,Reporting country
Portugal,'06,Total,23.4,Foreign country
Portugal,'06,Total,24.8,Reporting country
Portugal,'07,Females,19.7,Foreign country
Portugal,'07,Females,26.1,Reporting country
Portugal,'07,Males,26.8,Foreign country
Portugal,'07,Males,23.1,Reporting country
Portugal,'07,Total,22.8,Foreign country
Portugal,'07,Total,24.7,Reporting country
Portugal,'08,Females,27.2,Foreign country
Portugal,'08,Females,26.6,Reporting country
Portugal,'08,Males,29.8,Foreign country
Portugal,'08,Males,23,Reporting country
Portugal,'08,Total,28.5,Foreign country
Portugal,'08,Total,24.9,Reporting country
Portugal,'09,Females,18.1,EU-28
Portugal,'09,Females,31.7,Extra-EU-28
Portugal,'09,Females,29,Foreign country
Portugal,'09,Females,25,Reporting country
Portugal,'09,Males,29.2,EU-28
Portugal,'09,Males,25.7,Extra-EU-28
Portugal,'09,Males,26.4,Foreign country
Portugal,'09,Males,22.4,Reporting country
Portugal,'09,Total,23.6,EU-28
Portugal,'09,Total,28.8,Extra-EU-28
Portugal,'09,Total,27.7,Foreign country
Portugal,'09,Total,23.7,Reporting country
Portugal,'10,Females,18.7,EU-28
Portugal,'10,Females,25,Extra-EU-28
Portugal,'10,Females,23.6,Foreign country
Portugal,'10,Females,26,Reporting country
Portugal,'10,Males,17.5,EU-28
Portugal,'10,Males,26.3,Extra-EU-28
Portugal,'10,Males,24.2,Foreign country
Portugal,'10,Males,23,Reporting country
Portugal,'10,Total,18.1,EU-28
Portugal,'10,Total,25.6,Extra-EU-28
Portugal,'10,Total,23.9,Foreign country
Portugal,'10,Total,24.6,Reporting country
Portugal,'11,Females,16.6,EU-28
Portugal,'11,Females,35.2,Extra-EU-28
Portugal,'11,Females,31.3,Foreign country
Portugal,'11,Females,24,Reporting country
Portugal,'11,Males,9.6,EU-28
Portugal,'11,Males,33.5,Extra-EU-28
Portugal,'11,Males,27.4,Foreign country
Portugal,'11,Males,21.9,Reporting country
Portugal,'11,Total,12.8,EU-28
Portugal,'11,Total,34.4,Extra-EU-28
Portugal,'11,Total,29.4,Foreign country
Portugal,'11,Total,23,Reporting country
Portugal,'12,Females,20.5,EU-28
Portugal,'12,Females,30.3,Extra-EU-28
Portugal,'12,Females,28.1,Foreign country
Portugal,'12,Females,25.3,Reporting country
Portugal,'12,Males,18.9,EU-28
Portugal,'12,Males,27.3,Extra-EU-28
Portugal,'12,Males,25,Foreign country
Portugal,'12,Males,23.8,Reporting country
Portugal,'12,Total,19.7,EU-28
Portugal,'12,Total,28.9,Extra-EU-28
Portugal,'12,Total,26.6,Foreign country
Portugal,'12,Total,24.6,Reporting country
Portugal,'13,Females,35.9,EU-28
Portugal,'13,Females,37.5,Extra-EU-28
Portugal,'13,Females,37.1,Foreign country
Portugal,'13,Females,25.9,Reporting country
Portugal,'13,Males,26.9,EU-28
Portugal,'13,Males,31.6,Extra-EU-28
Portugal,'13,Males,30.4,Foreign country
Portugal,'13,Males,26,Reporting country
Portugal,'13,Total,31.3,EU-28
Portugal,'13,Total,34.8,Extra-EU-28
Portugal,'13,Total,34.1,Foreign country
Portugal,'13,Total,26,Reporting country
Portugal,'14,Females,27.1,EU-28
Portugal,'14,Females,37.8,Extra-EU-28
Portugal,'14,Females,35.3,Foreign country
Portugal,'14,Females,26.8,Reporting country
Portugal,'14,Males,22,EU-28
Portugal,'14,Males,33.6,Extra-EU-28
Portugal,'14,Males,30.6,Foreign country
Portugal,'14,Males,25.3,Reporting country
Portugal,'14,Total,24.7,EU-28
Portugal,'14,Total,36,Extra-EU-28
Portugal,'14,Total,33.2,Foreign country
Portugal,'14,Total,26.1,Reporting country
Portugal,'15,Females,22.9,EU-28
Portugal,'15,Females,39.3,Extra-EU-28
Portugal,'15,Females,35.1,Foreign country
Portugal,'15,Females,26.1,Reporting country
Portugal,'15,Males,20.3,EU-28
Portugal,'15,Males,35.1,Extra-EU-28
Portugal,'15,Males,31.5,Foreign country
Portugal,'15,Males,24.7,Reporting country
Portugal,'15,Total,21.7,EU-28
Portugal,'15,Total,37.5,Extra-EU-28
Portugal,'15,Total,33.5,Foreign country
Portugal,'15,Total,25.4,Reporting country
Poland,'06,Females,35.2,Foreign country
Poland,'06,Females,39.9,Reporting country
Poland,'06,Males,27.5,Foreign country
Poland,'06,Males,38.6,Reporting country
Poland,'06,Total,32.4,Foreign country
Poland,'06,Total,39.3,Reporting country
Poland,'07,Females,30.1,Foreign country
Poland,'07,Females,34.8,Reporting country
Poland,'07,Males,25.1,Foreign country
Poland,'07,Males,32.8,Reporting country
Poland,'07,Total,28.2,Foreign country
Poland,'07,Total,33.8,Reporting country
Poland,'08,Females,30.7,Foreign country
Poland,'08,Females,31,Reporting country
Poland,'08,Males,20.7,Foreign country
Poland,'08,Males,29.4,Reporting country
Poland,'08,Total,26.8,Foreign country
Poland,'08,Total,30.3,Reporting country
Poland,'09,Females,25.3,EU-28
Poland,'09,Females,38.6,Extra-EU-28
Poland,'09,Females,33.3,Foreign country
Poland,'09,Females,28.5,Reporting country
Poland,'09,Males,20,EU-28
Poland,'09,Males,21.5,Extra-EU-28
Poland,'09,Males,20.9,Foreign country
Poland,'09,Males,26.3,Reporting country
Poland,'09,Total,23.3,EU-28
Poland,'09,Total,31.9,Extra-EU-28
Poland,'09,Total,28.5,Foreign country
Poland,'09,Total,27.5,Reporting country
Poland,'10,Females,19.3,EU-28
Poland,'10,Females,42.3,Extra-EU-28
Poland,'10,Females,33.1,Foreign country
Poland,'10,Females,28.3,Reporting country
Poland,'10,Males,7.6,EU-28
Poland,'10,Males,23.3,Extra-EU-28
Poland,'10,Males,17.8,Foreign country
Poland,'10,Males,26.2,Reporting country
Poland,'10,Total,15.3,EU-28
Poland,'10,Total,35.1,Extra-EU-28
Poland,'10,Total,27.5,Foreign country
Poland,'10,Total,27.3,Reporting country
Poland,'11,Females,27.1,EU-28
Poland,'11,Females,41.4,Extra-EU-28
Poland,'11,Females,34.7,Foreign country
Poland,'11,Females,27.4,Reporting country
Poland,'11,Males,22.9,EU-28
Poland,'11,Males,30.7,Extra-EU-28
Poland,'11,Males,27.7,Foreign country
Poland,'11,Males,25.7,Reporting country
Poland,'11,Total,25.5,EU-28
Poland,'11,Total,36.5,Extra-EU-28
Poland,'11,Total,31.7,Foreign country
Poland,'11,Total,26.6,Reporting country
Poland,'12,Females,28.5,EU-28
Poland,'12,Females,34.4,Extra-EU-28
Poland,'12,Females,31.9,Foreign country
Poland,'12,Females,26.9,Reporting country
Poland,'12,Males,17.3,EU-28
Poland,'12,Males,24.6,Extra-EU-28
Poland,'12,Males,22.1,Foreign country
Poland,'12,Males,25.2,Reporting country
Poland,'12,Total,24.1,EU-28
Poland,'12,Total,29.8,Extra-EU-28
Poland,'12,Total,27.5,Foreign country
Poland,'12,Total,26.2,Reporting country
Poland,'13,Females,23.4,EU-28
Poland,'13,Females,31.2,Extra-EU-28
Poland,'13,Females,28.1,Foreign country
Poland,'13,Females,25.3,Reporting country
Poland,'13,Males,13.3,EU-28
Poland,'13,Males,18.7,Extra-EU-28
Poland,'13,Males,17.2,Foreign country
Poland,'13,Males,24.1,Reporting country
Poland,'13,Total,20.1,EU-28
Poland,'13,Total,25.7,Extra-EU-28
Poland,'13,Total,23.8,Foreign country
Poland,'13,Total,24.7,Reporting country
Poland,'14,Females,21.8,EU-28
Poland,'14,Females,20.5,Extra-EU-28
Poland,'14,Females,20.9,Foreign country
Poland,'14,Females,24.1,Reporting country
Poland,'14,Males,10.6,EU-28
Poland,'14,Males,10.3,Extra-EU-28
Poland,'14,Males,10.4,Foreign country
Poland,'14,Males,23.4,Reporting country
Poland,'14,Total,17.4,EU-28
Poland,'14,Total,16.3,Extra-EU-28
Poland,'14,Total,16.6,Foreign country
Poland,'14,Total,23.7,Reporting country
Poland,'15,Females,26.6,EU-28
Poland,'15,Females,15.6,Extra-EU-28
Poland,'15,Females,17.9,Foreign country
Poland,'15,Females,22.9,Reporting country
Poland,'15,Males,4,EU-28
Poland,'15,Males,7.2,Extra-EU-28
Poland,'15,Males,6.5,Foreign country
Poland,'15,Males,22.7,Reporting country
Poland,'15,Total,17.3,EU-28
Poland,'15,Total,12.1,Extra-EU-28
Poland,'15,Total,13.2,Foreign country
Poland,'15,Total,22.8,Reporting country
Norway,'06,Females,28.9,Foreign country
Norway,'06,Females,18.6,Reporting country
Norway,'06,Males,30.6,Foreign country
Norway,'06,Males,13.7,Reporting country
Norway,'06,Total,29.8,Foreign country
Norway,'06,Total,16.2,Reporting country
Norway,'07,Females,32.7,Foreign country
Norway,'07,Females,17.3,Reporting country
Norway,'07,Males,26.9,Foreign country
Norway,'07,Males,12.6,Reporting country
Norway,'07,Total,29.9,Foreign country
Norway,'07,Total,15,Reporting country
Norway,'08,Females,27.2,Foreign country
Norway,'08,Females,16.6,Reporting country
Norway,'08,Males,24.7,Foreign country
Norway,'08,Males,11.7,Reporting country
Norway,'08,Total,25.9,Foreign country
Norway,'08,Total,14.2,Reporting country
Norway,'09,Females,12.2,EU-28
Norway,'09,Females,39.3,Extra-EU-28
Norway,'09,Females,29,Foreign country
Norway,'09,Females,15.7,Reporting country
Norway,'09,Males,18.8,EU-28
Norway,'09,Males,39.5,Extra-EU-28
Norway,'09,Males,30.6,Foreign country
Norway,'09,Males,11.3,Reporting country
Norway,'09,Total,15.7,EU-28
Norway,'09,Total,39.4,Extra-EU-28
Norway,'09,Total,29.8,Foreign country
Norway,'09,Total,13.5,Reporting country
Norway,'10,Females,11.9,EU-28
Norway,'10,Females,29.9,Extra-EU-28
Norway,'10,Females,22.7,Foreign country
Norway,'10,Females,15.6,Reporting country
Norway,'10,Males,13.3,EU-28
Norway,'10,Males,35.6,Extra-EU-28
Norway,'10,Males,25.4,Foreign country
Norway,'10,Males,12.6,Reporting country
Norway,'10,Total,12.6,EU-28
Norway,'10,Total,32.4,Extra-EU-28
Norway,'10,Total,24,Foreign country
Norway,'10,Total,14.1,Reporting country
Norway,'11,Females,16.3,EU-28
Norway,'11,Females,31.2,Extra-EU-28
Norway,'11,Females,24.4,Foreign country
Norway,'11,Females,15.4,Reporting country
Norway,'11,Males,15.9,EU-28
Norway,'11,Males,41.1,Extra-EU-28
Norway,'11,Males,29.9,Foreign country
Norway,'11,Males,11.8,Reporting country
Norway,'11,Total,16.1,EU-28
Norway,'11,Total,36,Extra-EU-28
Norway,'11,Total,27.1,Foreign country
Norway,'11,Total,13.6,Reporting country
Norway,'12,Females,14.3,EU-28
Norway,'12,Females,36.1,Extra-EU-28
Norway,'12,Females,26.3,Foreign country
Norway,'12,Females,13.9,Reporting country
Norway,'12,Males,17,EU-28
Norway,'12,Males,33.9,Extra-EU-28
Norway,'12,Males,26.1,Foreign country
Norway,'12,Males,11.4,Reporting country
Norway,'12,Total,15.5,EU-28
Norway,'12,Total,35.1,Extra-EU-28
Norway,'12,Total,26.2,Foreign country
Norway,'12,Total,12.6,Reporting country
Norway,'13,Females,19.7,EU-28
Norway,'13,Females,35.6,Extra-EU-28
Norway,'13,Females,28.5,Foreign country
Norway,'13,Females,13.9,Reporting country
Norway,'13,Males,13,EU-28
Norway,'13,Males,32.8,Extra-EU-28
Norway,'13,Males,23.4,Foreign country
Norway,'13,Males,11.7,Reporting country
Norway,'13,Total,16.4,EU-28
Norway,'13,Total,34.3,Extra-EU-28
Norway,'13,Total,26.1,Foreign country
Norway,'13,Total,12.8,Reporting country
Norway,'14,Females,19.1,EU-28
Norway,'14,Females,27,Extra-EU-28
Norway,'14,Females,23.2,Foreign country
Norway,'14,Females,14.6,Reporting country
Norway,'14,Males,15.6,EU-28
Norway,'14,Males,27,Extra-EU-28
Norway,'14,Males,21.4,Foreign country
Norway,'14,Males,11.3,Reporting country
Norway,'14,Total,17.3,EU-28
Norway,'14,Total,27,Extra-EU-28
Norway,'14,Total,22.3,Foreign country
Norway,'14,Total,13,Reporting country
Norway,'15,Females,21.1,EU-28
Norway,'15,Females,28.7,Extra-EU-28
Norway,'15,Females,25.3,Foreign country
Norway,'15,Females,16.7,Reporting country
Norway,'15,Males,13,EU-28
Norway,'15,Males,33.3,Extra-EU-28
Norway,'15,Males,23.7,Foreign country
Norway,'15,Males,12.1,Reporting country
Norway,'15,Total,17,EU-28
Norway,'15,Total,30.9,Extra-EU-28
Norway,'15,Total,24.5,Foreign country
Norway,'15,Total,14.4,Reporting country
Netherlands,'06,Females,36.1,Foreign country
Netherlands,'06,Females,15.6,Reporting country
Netherlands,'06,Males,29.1,Foreign country
Netherlands,'06,Males,13.1,Reporting country
Netherlands,'06,Total,33,Foreign country
Netherlands,'06,Total,14.3,Reporting country
Netherlands,'07,Females,31.4,Foreign country
Netherlands,'07,Females,15.8,Reporting country
Netherlands,'07,Males,23.4,Foreign country
Netherlands,'07,Males,12.8,Reporting country
Netherlands,'07,Total,27.9,Foreign country
Netherlands,'07,Total,14.3,Reporting country
Netherlands,'08,Females,27.7,Foreign country
Netherlands,'08,Females,14.4,Reporting country
Netherlands,'08,Males,21,Foreign country
Netherlands,'08,Males,13,Reporting country
Netherlands,'08,Total,24.7,Foreign country
Netherlands,'08,Total,13.7,Reporting country
Netherlands,'09,Females,15.7,EU-28
Netherlands,'09,Females,31.3,Extra-EU-28
Netherlands,'09,Females,26.3,Foreign country
Netherlands,'09,Females,14.5,Reporting country
Netherlands,'09,Males,10.8,EU-28
Netherlands,'09,Males,32.2,Extra-EU-28
Netherlands,'09,Males,26.9,Foreign country
Netherlands,'09,Males,12.4,Reporting country
Netherlands,'09,Total,13.8,EU-28
Netherlands,'09,Total,31.7,Extra-EU-28
Netherlands,'09,Total,26.5,Foreign country
Netherlands,'09,Total,13.5,Reporting country
Netherlands,'10,Females,17.8,EU-28
Netherlands,'10,Females,30.3,Extra-EU-28
Netherlands,'10,Females,27.8,Foreign country
Netherlands,'10,Females,14.1,Reporting country
Netherlands,'10,Males,18.5,EU-28
Netherlands,'10,Males,25.6,Extra-EU-28
Netherlands,'10,Males,24.4,Foreign country
Netherlands,'10,Males,11.6,Reporting country
Netherlands,'10,Total,18.1,EU-28
Netherlands,'10,Total,28.1,Extra-EU-28
Netherlands,'10,Total,26.3,Foreign country
Netherlands,'10,Total,12.8,Reporting country
Netherlands,'11,Females,17.6,EU-28
Netherlands,'11,Females,35.2,Extra-EU-28
Netherlands,'11,Females,31.5,Foreign country
Netherlands,'11,Females,14.1,Reporting country
Netherlands,'11,Males,17.4,EU-28
Netherlands,'11,Males,32.2,Extra-EU-28
Netherlands,'11,Males,29.5,Foreign country
Netherlands,'11,Males,11.7,Reporting country
Netherlands,'11,Total,17.5,EU-28
Netherlands,'11,Total,33.8,Extra-EU-28
Netherlands,'11,Total,30.6,Foreign country
Netherlands,'11,Total,12.9,Reporting country
Netherlands,'12,Females,17.5,EU-28
Netherlands,'12,Females,31.8,Extra-EU-28
Netherlands,'12,Females,28.9,Foreign country
Netherlands,'12,Females,14,Reporting country
Netherlands,'12,Males,12.8,EU-28
Netherlands,'12,Males,28,Extra-EU-28
Netherlands,'12,Males,25.3,Foreign country
Netherlands,'12,Males,11.1,Reporting country
Netherlands,'12,Total,15.6,EU-28
Netherlands,'12,Total,30.1,Extra-EU-28
Netherlands,'12,Total,27.3,Foreign country
Netherlands,'12,Total,12.5,Reporting country
Netherlands,'13,Females,21.3,EU-28
Netherlands,'13,Females,34.1,Extra-EU-28
Netherlands,'13,Females,31.3,Foreign country
Netherlands,'13,Females,14.8,Reporting country
Netherlands,'13,Males,16.2,EU-28
Netherlands,'13,Males,29.3,Extra-EU-28
Netherlands,'13,Males,27,Foreign country
Netherlands,'13,Males,12.4,Reporting country
Netherlands,'13,Total,19.3,EU-28
Netherlands,'13,Total,31.9,Extra-EU-28
Netherlands,'13,Total,29.4,Foreign country
Netherlands,'13,Total,13.6,Reporting country
Netherlands,'14,Females,22.7,EU-28
Netherlands,'14,Females,35.7,Extra-EU-28
Netherlands,'14,Females,32.7,Foreign country
Netherlands,'14,Females,14.9,Reporting country
Netherlands,'14,Males,13.6,EU-28
Netherlands,'14,Males,38.6,Extra-EU-28
Netherlands,'14,Males,34,Foreign country
Netherlands,'14,Males,13,Reporting country
Netherlands,'14,Total,18.9,EU-28
Netherlands,'14,Total,37.1,Extra-EU-28
Netherlands,'14,Total,33.3,Foreign country
Netherlands,'14,Total,14,Reporting country
Netherlands,'15,Females,25.7,EU-28
Netherlands,'15,Females,36.6,Extra-EU-28
Netherlands,'15,Females,34.1,Foreign country
Netherlands,'15,Females,14.2,Reporting country
Netherlands,'15,Males,15.3,EU-28
Netherlands,'15,Males,30.4,Extra-EU-28
Netherlands,'15,Males,27.5,Foreign country
Netherlands,'15,Males,13.8,Reporting country
Netherlands,'15,Total,21.5,EU-28
Netherlands,'15,Total,33.7,Extra-EU-28
Netherlands,'15,Total,31,Foreign country
Netherlands,'15,Total,14,Reporting country
Malta,'06,Females,23.2,Foreign country
Malta,'06,Females,20.9,Reporting country
Malta,'06,Males,13.5,Foreign country
Malta,'06,Males,16.6,Reporting country
Malta,'06,Total,18.3,Foreign country
Malta,'06,Total,18.8,Reporting country
Malta,'07,Females,26.9,Foreign country
Malta,'07,Females,20.2,Reporting country
Malta,'07,Males,25.3,Foreign country
Malta,'07,Males,16.4,Reporting country
Malta,'07,Total,26.1,Foreign country
Malta,'07,Total,18.3,Reporting country
Malta,'08,Females,17.8,Foreign country
Malta,'08,Females,20.9,Reporting country
Malta,'08,Males,22.3,Foreign country
Malta,'08,Males,16.8,Reporting country
Malta,'08,Total,20.1,Foreign country
Malta,'08,Total,18.9,Reporting country
Malta,'09,Females,29.6,EU-28
Malta,'09,Females,20.3,Extra-EU-28
Malta,'09,Females,24.9,Foreign country
Malta,'09,Females,20.5,Reporting country
Malta,'09,Males,16.3,EU-28
Malta,'09,Males,19.4,Extra-EU-28
Malta,'09,Males,18.1,Foreign country
Malta,'09,Males,16.9,Reporting country
Malta,'09,Total,23.4,EU-28
Malta,'09,Total,19.8,Extra-EU-28
Malta,'09,Total,21.4,Foreign country
Malta,'09,Total,18.7,Reporting country
Malta,'10,Females,32.7,EU-28
Malta,'10,Females,19.7,Extra-EU-28
Malta,'10,Females,25.7,Foreign country
Malta,'10,Females,21.4,Reporting country
Malta,'10,Males,30,EU-28
Malta,'10,Males,21.2,Extra-EU-28
Malta,'10,Males,25.3,Foreign country
Malta,'10,Males,18,Reporting country
Malta,'10,Total,31.3,EU-28
Malta,'10,Total,20.4,Extra-EU-28
Malta,'10,Total,25.5,Foreign country
Malta,'10,Total,19.7,Reporting country
Malta,'11,Females,30,EU-28
Malta,'11,Females,23.8,Extra-EU-28
Malta,'11,Females,26.4,Foreign country
Malta,'11,Females,22,Reporting country
Malta,'11,Males,21.8,EU-28
Malta,'11,Males,24.4,Extra-EU-28
Malta,'11,Males,23.1,Foreign country
Malta,'11,Males,19.1,Reporting country
Malta,'11,Total,25.5,EU-28
Malta,'11,Total,24.1,Extra-EU-28
Malta,'11,Total,24.8,Foreign country
Malta,'11,Total,20.6,Reporting country
Malta,'12,Females,34.5,EU-28
Malta,'12,Females,23.4,Extra-EU-28
Malta,'12,Females,28.3,Foreign country
Malta,'12,Females,22.4,Reporting country
Malta,'12,Males,19,EU-28
Malta,'12,Males,18.8,Extra-EU-28
Malta,'12,Males,18.9,Foreign country
Malta,'12,Males,20,Reporting country
Malta,'12,Total,26,EU-28
Malta,'12,Total,21.3,Extra-EU-28
Malta,'12,Total,23.6,Foreign country
Malta,'12,Total,21.2,Reporting country
Malta,'13,Females,28.8,EU-28
Malta,'13,Females,21.4,Extra-EU-28
Malta,'13,Females,25.1,Foreign country
Malta,'13,Females,23.4,Reporting country
Malta,'13,Males,18.1,EU-28
Malta,'13,Males,30.3,Extra-EU-28
Malta,'13,Males,23.9,Foreign country
Malta,'13,Males,20.7,Reporting country
Malta,'13,Total,23.6,EU-28
Malta,'13,Total,25.6,Extra-EU-28
Malta,'13,Total,24.6,Foreign country
Malta,'13,Total,22.1,Reporting country
Malta,'14,Females,23.3,EU-28
Malta,'14,Females,26.1,Extra-EU-28
Malta,'14,Females,24.5,Foreign country
Malta,'14,Females,23.7,Reporting country
Malta,'14,Males,16.6,EU-28
Malta,'14,Males,29.7,Extra-EU-28
Malta,'14,Males,22.5,Foreign country
Malta,'14,Males,20.3,Reporting country
Malta,'14,Total,20.2,EU-28
Malta,'14,Total,27.8,Extra-EU-28
Malta,'14,Total,23.6,Foreign country
Malta,'14,Total,22,Reporting country
Malta,'15,Females,30,EU-28
Malta,'15,Females,25.9,Extra-EU-28
Malta,'15,Females,28.1,Foreign country
Malta,'15,Females,21.8,Reporting country
Malta,'15,Males,15.7,EU-28
Malta,'15,Males,28.9,Extra-EU-28
Malta,'15,Males,21.4,Foreign country
Malta,'15,Males,20,Reporting country
Malta,'15,Total,23.4,EU-28
Malta,'15,Total,27.2,Extra-EU-28
Malta,'15,Total,25.1,Foreign country
Malta,'15,Total,20.9,Reporting country
Macedonia*,'11,Females,29.5,EU-28
Macedonia*,'11,Females,54.1,Extra-EU-28
Macedonia*,'11,Females,48.5,Foreign country
Macedonia*,'11,Females,49.5,Reporting country
Macedonia*,'11,Males,16.5,EU-28
Macedonia*,'11,Males,52.3,Extra-EU-28
Macedonia*,'11,Males,40.8,Foreign country
Macedonia*,'11,Males,49.8,Reporting country
Macedonia*,'11,Total,22.6,EU-28
Macedonia*,'11,Total,53.4,Extra-EU-28
Macedonia*,'11,Total,45.1,Foreign country
Macedonia*,'11,Total,49.6,Reporting country
Macedonia*,'12,Females,73.2,Extra-EU-28
Macedonia*,'12,Females,62.7,Foreign country
Macedonia*,'12,Females,49.5,Reporting country
Macedonia*,'12,Males,60.5,Extra-EU-28
Macedonia*,'12,Males,56.9,Foreign country
Macedonia*,'12,Males,49.3,Reporting country
Macedonia*,'12,Total,67.9,Extra-EU-28
Macedonia*,'12,Total,60.3,Foreign country
Macedonia*,'12,Total,49.4,Reporting country
Macedonia*,'13,Females,56,Extra-EU-28
Macedonia*,'13,Females,53,Foreign country
Macedonia*,'13,Females,47.4,Reporting country
Macedonia*,'13,Males,42.8,Extra-EU-28
Macedonia*,'13,Males,38.1,Foreign country
Macedonia*,'13,Males,47.6,Reporting country
Macedonia*,'13,Total,31.2,EU-28
Macedonia*,'13,Total,51.8,Extra-EU-28
Macedonia*,'13,Total,47.4,Foreign country
Macedonia*,'13,Total,47.5,Reporting country
Macedonia*,'14,Females,64.6,Extra-EU-28
Macedonia*,'14,Females,60.3,Foreign country
Macedonia*,'14,Females,41.9,Reporting country
Macedonia*,'14,Males,51.5,Extra-EU-28
Macedonia*,'14,Males,36.6,Foreign country
Macedonia*,'14,Males,42.5,Reporting country
Macedonia*,'14,Total,26.1,EU-28
Macedonia*,'14,Total,59.9,Extra-EU-28
Macedonia*,'14,Total,50.7,Foreign country
Macedonia*,'14,Total,42.2,Reporting country
Macedonia*,'15,Females,51.4,Extra-EU-28
Macedonia*,'15,Females,51.3,Foreign country
Macedonia*,'15,Females,40.8,Reporting country
Macedonia*,'15,Males,51.7,Extra-EU-28
Macedonia*,'15,Males,42.2,Foreign country
Macedonia*,'15,Males,39.8,Reporting country
Macedonia*,'15,Total,38.8,EU-28
Macedonia*,'15,Total,51.5,Extra-EU-28
Macedonia*,'15,Total,48.6,Foreign country
Macedonia*,'15,Total,40.3,Reporting country
Luxembourg,'06,Females,23.7,Foreign country
Luxembourg,'06,Females,11.9,Reporting country
Luxembourg,'06,Males,22.1,Foreign country
