Host Country,Year,Sex,AROPE %,COB
Turkey,'09,Females,47.8,Extra-EU-28
Turkey,'09,Females,46.8,Foreign country
Turkey,'09,Females,62.2,Reporting country
Turkey,'09,Males,43.2,EU-28
Turkey,'09,Males,41.9,Extra-EU-28
Turkey,'09,Males,42.3,Foreign country
Turkey,'09,Males,60.9,Reporting country
Turkey,'09,Total,42.9,EU-28
Turkey,'09,Total,45.2,Extra-EU-28
Turkey,'09,Total,44.7,Foreign country
Turkey,'09,Total,61.6,Reporting country
Turkey,'10,Females,59.5,EU-28
Turkey,'10,Females,67.7,Extra-EU-28
Turkey,'10,Females,61.5,Foreign country
Turkey,'10,Females,64.1,Reporting country
Turkey,'10,Males,54.1,EU-28
Turkey,'10,Males,50.7,Extra-EU-28
Turkey,'10,Males,53.4,Foreign country
Turkey,'10,Males,62.5,Reporting country
Turkey,'10,Total,57.1,EU-28
Turkey,'10,Total,60.7,Extra-EU-28
Turkey,'10,Total,57.9,Foreign country
Turkey,'10,Total,63.3,Reporting country
Turkey,'11,Females,50.8,EU-28
Turkey,'11,Females,60.8,Extra-EU-28
Turkey,'11,Females,53.1,Foreign country
Turkey,'11,Females,62.5,Reporting country
Turkey,'11,Males,52.5,EU-28
Turkey,'11,Males,67.3,Extra-EU-28
Turkey,'11,Males,55.1,Foreign country
Turkey,'11,Males,60.4,Reporting country
Turkey,'11,Total,51.6,EU-28
Turkey,'11,Total,63.3,Extra-EU-28
Turkey,'11,Total,54,Foreign country
Turkey,'11,Total,61.5,Reporting country
Turkey,'12,Females,43.9,EU-28
Turkey,'12,Females,44.6,Extra-EU-28
Turkey,'12,Females,44,Foreign country
Turkey,'12,Females,59.9,Reporting country
Turkey,'12,Males,39,EU-28
Turkey,'12,Males,45.3,Extra-EU-28
Turkey,'12,Males,40.3,Foreign country
Turkey,'12,Males,57.9,Reporting country
Turkey,'12,Total,41.6,EU-28
Turkey,'12,Total,44.9,Extra-EU-28
Turkey,'12,Total,42.3,Foreign country
Turkey,'12,Total,58.9,Reporting country
Turkey,'13,Females,34.4,EU-28
Turkey,'13,Females,40.9,Extra-EU-28
Turkey,'13,Females,36.2,Foreign country
Turkey,'13,Females,49.9,Reporting country
Turkey,'13,Males,34.4,EU-28
Turkey,'13,Males,39.9,Extra-EU-28
Turkey,'13,Males,36,Foreign country
Turkey,'13,Males,47.2,Reporting country
Turkey,'13,Total,34.4,EU-28
Turkey,'13,Total,40.4,Extra-EU-28
Turkey,'13,Total,36.1,Foreign country
Turkey,'13,Total,48.5,Reporting country
Switzerland,'07,Females,25.2,Foreign country
Switzerland,'07,Females,17.5,Reporting country
Switzerland,'07,Males,22.2,Foreign country
Switzerland,'07,Males,11.5,Reporting country
Switzerland,'07,Total,23.8,Foreign country
Switzerland,'07,Total,14.6,Reporting country
Switzerland,'08,Females,23.3,Foreign country
Switzerland,'08,Females,17.9,Reporting country
Switzerland,'08,Males,20.7,Foreign country
Switzerland,'08,Males,12.2,Reporting country
Switzerland,'08,Total,22.1,Foreign country
Switzerland,'08,Total,15.1,Reporting country
Switzerland,'09,Females,20.3,EU-28
Switzerland,'09,Females,28.6,Extra-EU-28
Switzerland,'09,Females,23.7,Foreign country
Switzerland,'09,Females,17.9,Reporting country
Switzerland,'09,Males,14.2,EU-28
Switzerland,'09,Males,28.7,Extra-EU-28
Switzerland,'09,Males,20.1,Foreign country
Switzerland,'09,Males,12.2,Reporting country
Switzerland,'09,Total,17.4,EU-28
Switzerland,'09,Total,28.7,Extra-EU-28
Switzerland,'09,Total,22,Foreign country
Switzerland,'09,Total,15.2,Reporting country
Switzerland,'10,Females,18.4,EU-28
Switzerland,'10,Females,26.2,Extra-EU-28
Switzerland,'10,Females,21.7,Foreign country
Switzerland,'10,Females,17.3,Reporting country
Switzerland,'10,Males,15.1,EU-28
Switzerland,'10,Males,25.1,Extra-EU-28
Switzerland,'10,Males,19.2,Foreign country
Switzerland,'10,Males,12.4,Reporting country
Switzerland,'10,Total,16.8,EU-28
Switzerland,'10,Total,25.7,Extra-EU-28
Switzerland,'10,Total,20.5,Foreign country
Switzerland,'10,Total,15,Reporting country
Switzerland,'11,Females,19.5,EU-28
Switzerland,'11,Females,25.5,Extra-EU-28
