Host Country,Year,NEET %,COB
Sweden,'10,12.7,Extra-EU-28
Sweden,'10,12.2,Foreign country
Sweden,'10,7.6,Reporting country
Sweden,'10,8.3,Total
Sweden,'11,9.4,EU-28
Sweden,'11,13.9,Extra-EU-28
Sweden,'11,13.1,Foreign country
Sweden,'11,7,Reporting country
Sweden,'11,7.9,Total
Sweden,'12,12.9,EU-28
Sweden,'12,14.7,Extra-EU-28
Sweden,'12,14.4,Foreign country
Sweden,'12,7.3,Reporting country
Sweden,'12,8.4,Total
Sweden,'13,9.4,EU-28
Sweden,'13,12.7,Extra-EU-28
Sweden,'13,12.2,Foreign country
Sweden,'13,7,Reporting country
Sweden,'13,7.9,Total
Sweden,'14,12,EU-28
Sweden,'14,12.7,Extra-EU-28
Sweden,'14,12.6,Foreign country
Sweden,'14,6.8,Reporting country
Sweden,'14,7.8,Total
Sweden,'15,9.8,EU-28
Sweden,'15,13.3,Extra-EU-28
Sweden,'15,12.7,Foreign country
Sweden,'15,6.3,Reporting country
Sweden,'15,7.4,Total
Sweden,'16,9.5,EU-28
Sweden,'16,13,Extra-EU-28
Sweden,'16,12.4,Foreign country
Sweden,'16,5.9,Reporting country
Sweden,'16,7.1,Total
Spain,'06,18.3,EU-28
Spain,'06,21.8,Extra-EU-28
Spain,'06,20.9,Foreign country
Spain,'06,11.4,Reporting country
Spain,'07,21,EU-28
Spain,'07,21.6,Extra-EU-28
Spain,'07,21.4,Foreign country
Spain,'07,10.9,Reporting country
Spain,'08,26.6,EU-28
Spain,'08,24.3,Extra-EU-28
Spain,'08,24.9,Foreign country
Spain,'08,13,Reporting country
Spain,'09,29.6,EU-28
Spain,'09,31.4,Extra-EU-28
Spain,'09,30.9,Foreign country
Spain,'09,17.2,Reporting country
Spain,'10,31.3,EU-28
Spain,'10,30.4,Extra-EU-28
Spain,'10,30.6,Foreign country
Spain,'10,17.5,Reporting country
Spain,'10,20,Total
Spain,'11,32.8,EU-28
Spain,'11,30.7,Extra-EU-28
Spain,'11,31.2,Foreign country
Spain,'11,18.2,Reporting country
Spain,'11,20.6,Total
Spain,'12,32.5,EU-28
Spain,'12,33.4,Extra-EU-28
Spain,'12,33.2,Foreign country
Spain,'12,19.7,Reporting country
Spain,'12,22.2,Total
Spain,'13,34,EU-28
Spain,'13,33.8,Extra-EU-28
Spain,'13,33.9,Foreign country
Spain,'13,20,Reporting country
Spain,'13,22.5,Total
Spain,'14,33.5,EU-28
Spain,'14,30.4,Extra-EU-28
Spain,'14,31.2,Foreign country
Spain,'14,18.6,Reporting country
Spain,'14,20.7,Total
Spain,'15,29.6,EU-28
Spain,'15,29.1,Extra-EU-28
Spain,'15,29.2,Foreign country
Spain,'15,17.5,Reporting country
Spain,'15,19.4,Total
Spain,'16,27.4,EU-28
Spain,'16,27.9,Extra-EU-28
Spain,'16,27.8,Foreign country
Spain,'16,16,Reporting country
Spain,'16,18.1,Total
Slovenia,'06,17.4,EU-28
Slovenia,'06,16.9,Extra-EU-28
Slovenia,'06,17,Foreign country
Slovenia,'06,9.5,Reporting country
Slovenia,'07,14.5,Extra-EU-28
Slovenia,'07,13.9,Foreign country
Slovenia,'07,8.1,Reporting country
Slovenia,'08,15.5,EU-28
Slovenia,'08,19.8,Extra-EU-28
Slovenia,'08,18.7,Foreign country
Slovenia,'08,7.1,Reporting country
Slovenia,'09,14.8,EU-28
Slovenia,'09,28.6,Extra-EU-28
Slovenia,'09,25.3,Foreign country
Slovenia,'09,8.7,Reporting country
Slovenia,'10,20,EU-28
Slovenia,'10,24.5,Extra-EU-28
Slovenia,'10,23.7,Foreign country
Slovenia,'10,8.8,Reporting country
Slovenia,'10,9.4,Total
Slovenia,'11,25.5,EU-28
Slovenia,'11,21.4,Extra-EU-28
Slovenia,'11,22.1,Foreign country
Slovenia,'11,8.8,Reporting country
Slovenia,'11,9.4,Total
Slovenia,'12,33.2,Extra-EU-28
Slovenia,'12,30.4,Foreign country
Slovenia,'12,10.9,Reporting country
Slovenia,'12,11.8,Total
Slovenia,'13,27.7,EU-28
Slovenia,'13,31.6,Extra-EU-28
Slovenia,'13,31,Foreign country
Slovenia,'13,11.9,Reporting country
Slovenia,'13,12.9,Total
Slovenia,'14,36.9,EU-28
Slovenia,'14,30.9,Extra-EU-28
Slovenia,'14,31.6,Foreign country
Slovenia,'14,11.8,Reporting country
Slovenia,'14,12.9,Total
Slovenia,'15,24.8,EU-28
Slovenia,'15,23.7,Extra-EU-28
Slovenia,'15,23.9,Foreign country
Slovenia,'15,11.6,Reporting country
Slovenia,'15,12.3,Total
Slovenia,'16,20.8,EU-28
Slovenia,'16,22.5,Extra-EU-28
Slovenia,'16,22.3,Foreign country
Slovenia,'16,10.2,Reporting country
Slovenia,'16,10.9,Total
Slovakia,'06,18.1,Reporting country
Slovakia,'07,16.9,Reporting country
Slovakia,'08,15.2,Reporting country
Slovakia,'09,17.3,Reporting country
