Host Country,Year,Sex,AROPE %,Citizen
Turkey,'10,Total,44.5,EU-28
Turkey,'10,Total,51.8,Extra-EU-28
Turkey,'10,Total,48.2,Foreign country
Turkey,'10,Total,63.2,Reporting country
Turkey,'11,Females,86.2,Extra-EU-28
Turkey,'11,Females,70.7,Foreign country
Turkey,'11,Females,62.3,Reporting country
Turkey,'11,Males,60.3,Reporting country
Turkey,'11,Total,83.4,Extra-EU-28
Turkey,'11,Total,59.2,Foreign country
Turkey,'11,Total,61.3,Reporting country
Turkey,'12,Females,40.4,Extra-EU-28
Turkey,'12,Females,40.4,Foreign country
Turkey,'12,Females,59.7,Reporting country
Turkey,'12,Males,57.6,Reporting country
Turkey,'12,Total,34.8,EU-28
Turkey,'12,Total,35.7,Extra-EU-28
Turkey,'12,Total,35.4,Foreign country
Turkey,'12,Total,58.7,Reporting country
Turkey,'13,Females,40.2,Extra-EU-28
Turkey,'13,Females,32.7,Foreign country
Turkey,'13,Females,49.7,Reporting country
Turkey,'13,Males,47,Reporting country
Turkey,'13,Total,32.8,Extra-EU-28
Turkey,'13,Total,26.1,Foreign country
Turkey,'13,Total,48.4,Reporting country
Switzerland,'07,Females,24.4,Foreign country
Switzerland,'07,Females,17.9,Reporting country
Switzerland,'07,Males,21.5,Foreign country
Switzerland,'07,Males,13.2,Reporting country
Switzerland,'07,Total,22.9,Foreign country
Switzerland,'07,Total,15.6,Reporting country
Switzerland,'08,Females,26,Foreign country
Switzerland,'08,Females,18,Reporting country
Switzerland,'08,Males,22.4,Foreign country
Switzerland,'08,Males,12.6,Reporting country
Switzerland,'08,Total,24.1,Foreign country
Switzerland,'08,Total,15.4,Reporting country
Switzerland,'09,Females,18.7,EU-28
Switzerland,'09,Females,33.7,Extra-EU-28
Switzerland,'09,Females,24.7,Foreign country
Switzerland,'09,Females,18.2,Reporting country
Switzerland,'09,Males,14,EU-28
Switzerland,'09,Males,34.5,Extra-EU-28
Switzerland,'09,Males,21.4,Foreign country
Switzerland,'09,Males,13,Reporting country
Switzerland,'09,Total,16.2,EU-28
Switzerland,'09,Total,34.1,Extra-EU-28
Switzerland,'09,Total,22.9,Foreign country
Switzerland,'09,Total,15.7,Reporting country
Switzerland,'10,Females,17.3,EU-28
Switzerland,'10,Females,26.8,Extra-EU-28
Switzerland,'10,Females,21,Foreign country
Switzerland,'10,Females,17.7,Reporting country
Switzerland,'10,Males,13.8,EU-28
Switzerland,'10,Males,28.4,Extra-EU-28
Switzerland,'10,Males,18.7,Foreign country
Switzerland,'10,Males,13.2,Reporting country
Switzerland,'10,Total,15.4,EU-28
Switzerland,'10,Total,27.5,Extra-EU-28
Switzerland,'10,Total,19.8,Foreign country
Switzerland,'10,Total,15.6,Reporting country
Switzerland,'11,Females,17.5,EU-28
Switzerland,'11,Females,29.6,Extra-EU-28
Switzerland,'11,Females,22.1,Foreign country
Switzerland,'11,Females,17.7,Reporting country
Switzerland,'11,Males,15.9,EU-28
Switzerland,'11,Males,30.8,Extra-EU-28
Switzerland,'11,Males,20.5,Foreign country
Switzerland,'11,Males,12.9,Reporting country
Switzerland,'11,Total,16.6,EU-28
Switzerland,'11,Total,30.2,Extra-EU-28
Switzerland,'11,Total,21.3,Foreign country
Switzerland,'11,Total,15.4,Reporting country
Switzerland,'12,Females,15.9,EU-28
Switzerland,'12,Females,34.7,Extra-EU-28
Switzerland,'12,Females,22.6,Foreign country
Switzerland,'12,Females,18,Reporting country
Switzerland,'12,Males,16.1,EU-28
Switzerland,'12,Males,30.9,Extra-EU-28
Switzerland,'12,Males,20.3,Foreign country
Switzerland,'12,Males,13.7,Reporting country
Switzerland,'12,Total,16,EU-28
Switzerland,'12,Total,32.9,Extra-EU-28
Switzerland,'12,Total,21.4,Foreign country
Switzerland,'12,Total,16,Reporting country
Switzerland,'13,Females,16,EU-28
Switzerland,'13,Females,24.2,Extra-EU-28
Switzerland,'13,Females,18.8,Foreign country
Switzerland,'13,Females,17.4,Reporting country
Switzerland,'13,Males,15.2,EU-28
Switzerland,'13,Males,20,Extra-EU-28
Switzerland,'13,Males,16.7,Foreign country
Switzerland,'13,Males,13.8,Reporting country
Switzerland,'13,Total,15.5,EU-28
Switzerland,'13,Total,22,Extra-EU-28
Switzerland,'13,Total,17.7,Foreign country
Switzerland,'13,Total,15.6,Reporting country
Switzerland,'14,Females,20.5,EU-28
Switzerland,'14,Females,23.1,Extra-EU-28
Switzerland,'14,Females,21.4,Foreign country
Switzerland,'14,Females,17.4,Reporting country
Switzerland,'14,Males,16.7,EU-28
Switzerland,'14,Males,22.6,Extra-EU-28
Switzerland,'14,Males,18.4,Foreign country
Switzerland,'14,Males,12.6,Reporting country
Switzerland,'14,Total,18.4,EU-28
Switzerland,'14,Total,22.9,Extra-EU-28
Switzerland,'14,Total,19.8,Foreign country
Switzerland,'14,Total,15.1,Reporting country
Switzerland,'15,Females,21.2,EU-28
Switzerland,'15,Females,32.9,Extra-EU-28
Switzerland,'15,Females,25.1,Foreign country
