Host Country,Year,Sex,Employment %,COC
EU-28,'12,Females,53.6,Foreign country
EU-28,'12,Females,63.1,Reporting country
EU-28,'12,Females,62.4,Total
EU-28,'12,Males,78,EU-28
EU-28,'12,Males,66.8,Extra-EU-28
EU-28,'12,Males,71.2,Foreign country
EU-28,'12,Males,74.8,Reporting country
EU-28,'12,Males,74.6,Total
EU-28,'12,Total,70.6,EU-28
EU-28,'12,Total,56.5,Extra-EU-28
EU-28,'12,Total,62.1,Foreign country
EU-28,'12,Total,69,Reporting country
EU-28,'12,Total,68.4,Total
EU-28,'13,Females,64.2,EU-28
